Count,Accel.X,Accel.Y,Accel.Z,Gyro.X,Gyro.Y,Gyro.Z
268,-0.0081,0.11,1.0312,-0.0141,-0.0248,-0.0168
269,0.0479,0.1025,1.0305,0.0383,0.0142,-0.0437
270,0.0156,0.1264,1.0738,0.0328,-0.015,0.029
271,0.0206,0.1238,1.029,-0.0308,0.0346,-0.0152
272,0.0109,0.1212,1.0395,-0.0033,-0.0866,-0.0172
273,0.0434,0.1464,1.023,0.036,0.0854,0.0051
274,-0.0093,0.1126,1.0619,0.0361,-0.0547,0.014
275,0.012,0.1349,1.0476,-0.0454,0.0458,-0.0783
276,0.0667,0.1304,1.0229,-0.0077,-0.0538,0.0349
277,-0.0612,0.1137,1.0332,0.0664,0.0209,0.0016
278,0.0126,0.1248,1.0612,0.0084,-0.0036,-0.1671
279,-0.0091,0.1085,1.0632,-0.0427,-0.1241,-0.211
280,0.0162,0.0875,0.9974,0.027,-0.0879,-0.2913
281,0.0403,0.1751,1.047,0.0706,-0.0377,-0.302
282,0.1265,0.1614,1.0541,0.0031,-0.0387,-0.0617
283,-0.024,0.0896,1.0542,-0.0429,-0.0035,0.0663
284,0.031,0.0644,1.0184,0.0134,-0.0083,-0.0718
285,0.0945,0.1588,1.0552,0.0383,0.0357,0.0202
286,0.0181,0.0756,1.0554,0.0039,-0.014,0.127
287,-0.0087,0.0955,1.0345,-0.0134,0.0273,-0.0112
288,0.0619,0.1086,1.0457,0.0059,0.0101,-0.012
289,0.024,0.1124,1.0385,0.0278,0.0095,0.0627
290,0.0032,0.0741,1.0525,0.0041,-0.0041,0.0136
291,0.0306,0.1228,1.0392,-0.012,-0.0134,-0.0454
292,0.0366,0.0904,1.0486,0.004,0.0089,0.0463
293,-0.0078,0.1031,1.0217,0.0391,-0.0156,-0.0016
294,0.0368,0.0887,1.0703,-0.0001,-0.0021,-0.0345
295,0.0576,0.1194,1.0304,-0.016,-0.0113,0.0244
296,-0.0034,0.0762,1.0419,0.0232,-0.0037,0.0165
297,0.0415,0.1061,1.0489,0.0346,-0.0285,-0.0192
298,0.0286,0.098,1.0917,-0.0156,0.0546,0.065
299,0.0131,0.1077,1.0059,-0.0028,-0.0489,-0.0029
300,-0.0193,0.1025,1.0845,0.0105,0.0445,-0.0587
301,0.1166,0.1547,0.9999,0.0138,0.031,-0.0232
302,-0.0474,0.1144,1.0845,0.0076,-0.0609,0.0639
303,0.0419,0.1133,0.9982,-0.0015,0.0364,-0.0574
304,0.0356,0.1641,1.0613,0.0361,-0.0318,0.0313
305,-0.0191,0.1033,1.0486,0.0071,0.0567,0.0393
306,0.0094,0.138,1.0235,0.0015,-0.0228,-0.0581
307,0.0629,0.1285,1.0558,-0.0067,0.0044,0.0161
308,0.0095,0.1388,1.0126,0.0358,-0.0134,0.0779
309,-0.0125,0.1078,1.0642,0.018,0.0128,-0.0192
310,0.0873,0.1258,1.0245,-0.0212,-0.002,-0.0133
311,0.015,0.1024,1.0695,0.0049,-0.0533,0.0972
312,0.0365,0.1075,1.0179,0.0161,0.0617,0.0873
313,0.0002,0.1053,1.077,0.0153,-0.0192,0.045
314,0.0368,0.1006,1.0388,-0.0264,0.0182,0.0157
315,0.0523,0.094,1.0179,-0.0012,-0.0161,0.0458
316,-0.0007,0.0709,1.094,0.0268,0.0101,0.0313
317,0.0385,0.1005,1.0251,0.0119,-0.0045,0.0032
318,-0.0035,0.0972,1.0839,-0.0045,0.002,-0.0375
319,0.068,0.0992,0.9972,-0.0049,0.0007,-0.0157
320,0.019,0.111,1.0766,0.0316,-0.0234,-0.0016
321,0.0248,0.0775,1.0235,0.0124,-0.0072,0.0349
322,-0.01,0.1006,1.0843,0.0035,-0.0182,-0.0772
323,0.0865,0.1053,1.0262,-0.0157,0.0423,0.0115
324,-0.0076,0.0899,1.0466,0.0458,-0.062,0.0173
325,0.024,0.0809,1.0564,0.0017,0.068,-0.0419
326,0.061,0.1554,1.0367,0.0027,-0.0395,-0.0047
327,0.0007,0.0865,1.0505,-0.0035,0.0364,0.0478
328,0.0329,0.0945,1.0344,0.0293,-0.0104,-0.0273
329,0.037,0.1221,1.0725,0.0052,0.0012,0.016
330,0.014,0.1072,1.035,-0.0037,-0.0244,0.0308
331,0.0178,0.0966,1.0328,0.0189,0.0047,-0.065
332,0.0744,0.1316,1.057,0.0229,0.0244,-0.0246
333,0.0048,0.1199,1.0416,0.0126,-0.0172,0.0654
334,0.0143,0.1008,1.034,-0.0061,0.0152,-0.0499
335,0.0638,0.1646,1.0415,0.0184,0.0081,-0.0266
336,0.0167,0.1261,1.0401,0.02,-0.0004,0.0543
337,-0.0055,0.1034,1.0444,0.0137,-0.0093,-0.0375
338,0.0641,0.1428,1.0476,-0.0025,0.0067,-0.019
339,0.0102,0.1257,1.0352,0.02,-0.0453,0.0611
340,-0.0186,0.1015,1.0509,0.0157,0.0599,-0.0348
341,0.088,0.1278,1.0331,0.0162,-0.0395,-0.0587
342,0.0194,0.1212,1.0555,-0.0174,0.0206,0.0651
343,0.0107,0.0891,1.0162,0.0298,-0.0225,-0.0349
344,0.0359,0.1425,1.0715,0.0162,0.0212,-0.0413
345,0.0565,0.1097,1.0341,-0.0035,-0.0063,0.0356
346,-0.0069,0.0918,1.0444,0.0045,-0.0166,0.0069
347,0.0493,0.116,1.0377,0.0186,0.0166,-0.0655
348,0.0469,0.1383,1.0541,0.0144,-0.0109,0.0304
349,-0.0103,0.1086,1.0402,-0.0025,0.0282,0.0177
350,0.039,0.0889,1.0355,0.0085,-0.0043,-0.0348
351,0.0449,0.1393,1.0618,0.013,0.0079,0.0133
