Count,Accel.X,Accel.Y,Accel.Z,Gyro.X,Gyro.Y,Gyro.Z
238,-0.082,0.0259,1.0118,0.1358,0.0999,-0.075
239,0.0387,0.0031,1.1324,0.0762,0.0518,-0.1075
240,0.009,-0.0919,1.1194,-0.1601,-0.1751,-0.157
241,0.0131,-0.0648,1.0922,-0.1949,-0.2176,-0.1767
242,0.0349,0.0059,0.9998,0.0177,-0.062,-0.1917
243,0.0281,-0.0793,1.228,-0.106,-0.1204,-0.221
244,-0.0847,0.0596,0.9913,0.0711,0.0487,-0.2164
245,0.0809,0.0229,1.0297,0.0815,0.0482,-0.1543
246,0.0897,-0.063,1.0773,-0.1549,-0.1553,-0.1212
247,0.0218,0.101,1.009,0.0269,0.0293,-0.0949
248,0.0431,-0.0344,1.0562,-0.1051,-0.0724,-0.0698
249,-0.0469,0.0239,1.0551,-0.071,-0.0515,-0.0494
250,-0.02,-0.0587,1.0662,0.0256,0.0502,0.0059
251,0.0637,-0.0073,1.2856,-0.1272,-0.1304,0.0632
252,-0.0468,0.1751,1.183,0.0361,-0.0534,0.069
253,0.0377,-0.0246,0.9784,0.1076,0.0686,0.0775
254,0.0103,0.0741,0.9528,0.0149,-0.0911,0.1012
255,0.0833,-0.0977,0.9764,-0.0768,-0.0888,0.1041
256,0.116,-0.0599,1.072,-0.2072,-0.2165,0.0957
257,0.0198,-0.016,0.9776,-0.1132,-0.1297,0.0901
258,0.0073,0.0813,1.1764,0.0008,-0.0173,0.0774
259,0.0015,0.0569,1.0001,0.1844,0.1493,0.0569
260,0.0282,-0.0464,1.1584,-0.0272,-0.0214,0.0228
261,0.0035,0.0277,1.0458,0.0029,0.0075,0.0209
262,0.0013,-0.0469,0.9802,-0.0089,-0.0399,0.0165
263,-0.0002,-0.0137,1.1334,-0.0614,-0.0759,0.0088
264,-0.0546,0.0309,1.0612,0.0041,0.0077,-0.0029
265,0.0294,0.008,0.874,0.1083,0.0963,-0.013
266,0.0625,-0.0966,1.1505,-0.1289,-0.1415,-0.0216
267,0.0028,0.0435,1.0817,0.0181,0.0178,-0.016
268,0.053,0.0161,0.962,0.1891,0.123,-0.021
269,0.058,-0.0236,1.1385,-0.1107,-0.1146,-0.0632
270,-0.0334,0.0726,0.908,0.2184,0.1751,-0.0754
271,0.1298,-0.085,1.1042,-0.0956,-0.0967,-0.0607
272,-0.0117,0.049,1.1055,-0.1322,-0.0971,-0.069
273,0.0367,0.0137,0.9991,0.2048,0.181,-0.0495
274,0.0191,-0.0687,1.0754,-0.0446,-0.0269,-0.0499
275,-0.0439,0.0958,1.0449,0.1522,0.1545,-0.0325
276,0.0366,-0.0318,1.0537,0.0487,0.0422,-0.0297
277,0.0226,-0.005,1.0406,-0.0229,-0.0368,-0.0313
278,0.0433,-0.0153,1.0826,0.0375,0.0364,-0.0245
279,0.0509,-0.0319,1.0474,0.0224,0.013,-0.0141
280,0.0407,-0.0036,1.0686,0.0297,0.0087,-0.0033
281,0.0422,-0.0241,1.0255,0.0421,0.0012,-0.0027
282,0.0178,0.0068,1.0748,-0.0257,-0.0449,-0.0212
283,0.0084,0.025,1.033,0.0763,0.068,-0.0149
284,-0.0015,-0.0266,1.0802,-0.0372,-0.0238,-0.0121
285,0.0314,-0.0071,1.046,0.0575,0.0297,-0.0092
286,-0.005,-0.022,1.0302,-0.0485,-0.0648,-0.0065
287,0.0106,-0.0212,1.0488,0.0169,-0.0011,0.0149
288,-0.0076,0.0035,1.0344,0.0224,0.032,0.0286
289,-0.0101,-0.0369,1.033,-0.0007,0.0091,0.0322
290,0.0137,-0.0432,1.1089,0.0005,-0.0264,0.0398
291,-0.0245,0.0015,1.0144,0.0779,0.0333,0.0632
292,-0.0229,-0.0142,1.0369,0.0587,0.055,0.0826
293,0.0421,0.0117,1.0975,0.0377,0.0313,0.0569
294,0.0162,0.0084,1.0235,0.0473,0.0381,0.0352
295,0.0161,-0.0148,1.0536,-0.022,-0.0156,0.0177
296,-0.0226,-0.004,1.0529,0.0149,0.0087,0.0248
297,-0.0052,-0.0399,1.0302,-0.0205,-0.0297,0.0459
298,0.0049,-0.009,1.0643,0.0107,-0.0174,0.0722
299,-0.0018,-0.0317,1.0505,0.0001,-0.0188,0.0904
300,0.0106,0.0008,1.0331,0.0474,0.0296,0.0992
301,0.0007,-0.0086,1.0555,-0.0001,-0.0029,0.113
302,0.0062,-0.0137,1.0653,0.0128,0.0105,0.115
303,0.0683,-0.0066,1.0658,-0.0313,-0.0517,0.108
304,0.0334,0.0082,1.0618,-0.0112,-0.0209,0.0718
305,0.0963,-0.0497,1.0456,0.0113,0.0132,0.0362
306,0.0585,-0.0286,1.0593,0.0043,0.0125,-0.0033
307,0.0657,-0.0497,1.051,-0.0093,0.0036,-0.0197
308,0.0254,-0.0568,1.0463,0.0598,0.063,-0.0521
309,0.0052,-0.0222,1.0535,-0.0031,-0.0153,-0.0541
310,-0.0264,-0.026,1.0421,0.0451,0.0318,-0.0506
