Count,Accel.X,Accel.Y,Accel.Z,Gyro.X,Gyro.Y,Gyro.Z
335,-0.0497,-0.4724,0.9332,-1.0361,0.072,-0.034
336,-0.0444,-0.4777,0.9001,-1.1917,0.0654,-0.0453
337,-0.042,-0.4896,0.8948,-1.2674,0.039,-0.0533
338,-0.0397,-0.5299,0.8715,-1.1222,0.0618,-0.0475
339,-0.0419,-0.5481,0.8491,-1.1365,0.0668,-0.0782
340,-0.0305,-0.5573,0.845,-1.1555,-0.0061,-0.0419
341,-0.0457,-0.5978,0.842,-0.9021,-0.0005,-0.0033
342,-0.0398,-0.6243,0.7905,-0.8522,0.0273,-0.0075
343,-0.0464,-0.6497,0.7948,-0.9546,0.0004,-0.0027
344,-0.0419,-0.6588,0.7959,-0.8849,-0.026,0.0334
345,-0.0476,-0.6849,0.7531,-0.8144,0.0141,0.0089
346,-0.0502,-0.6979,0.7472,-0.9636,0.0294,-0.0334
347,-0.0548,-0.6942,0.7463,-1.0315,0.0043,-0.0228
348,-0.0533,-0.7133,0.7124,-0.9576,0.0221,-0.0154
349,-0.0487,-0.7455,0.7036,-0.9655,0.0401,0.0177
350,-0.0405,-0.7468,0.655,-1.0953,0.0141,0.0017
351,-0.0457,-0.7598,0.6658,-1.3369,-0.0433,-0.023
352,-0.0342,-0.7944,0.6455,-1.3182,-0.0485,-0.0352
353,-0.0563,-0.8365,0.5886,-1.2054,0.0594,-0.0752
354,-0.0453,-0.8396,0.527,-1.3554,0.0623,-0.0308
355,-0.059,-0.8457,0.5137,-1.7239,-0.0063,-0.0718
356,0.015,-0.9384,0.5315,-1.7651,-0.1679,-0.0787
357,-0.0531,-0.8796,0.5219,-1.1801,0.1269,-0.0366
358,-0.0409,-0.9016,0.4207,-1.1646,0.0254,-0.0943
359,-0.0461,-0.9169,0.4115,-1.2832,-0.023,-0.0806
360,-0.0302,-0.9502,0.4062,-1.0213,-0.0132,-0.0611
361,-0.0474,-0.9526,0.3553,-0.7919,-0.0072,-0.0485
362,-0.0754,-0.9161,0.2974,-1.0016,-0.0495,-0.1285
363,-0.0131,-0.9537,0.2809,-1.1359,-0.0985,-0.0378
364,-0.0361,-0.9739,0.3142,-1.0995,-0.1498,-0.012
365,-0.0188,-0.9424,0.2598,-1.0198,-0.0923,-0.0068
366,-0.0249,-0.9684,0.212,-1.1804,-0.0888,-0.0414
367,-0.0408,-0.9878,0.1849,-1.3467,-0.0924,-0.049
368,-0.0255,-0.9978,0.1891,-1.4254,-0.1265,-0.0622
369,-0.0261,-0.9974,0.1448,-1.3551,-0.1277,-0.076
370,-0.016,-0.9902,0.1011,-1.3267,-0.0451,-0.0579
371,-0.0216,-0.9984,0.0651,-1.2933,-0.0345,-0.0333
372,-0.0098,-0.9603,0.0184,-1.6935,-0.1314,-0.0758
373,-0.0258,-1.0186,0.0206,-1.6889,-0.1326,-0.0791
374,-0.0339,-1.0792,0.0216,-1.2369,-0.1202,-0.0141
375,-0.0043,-1.0042,-0.0852,-0.9351,-0.0535,-0.0041
376,0.0082,-0.9832,-0.1547,-1.1843,0.0081,-0.0502
